,expenses
304,12646.21
866,1141.45
300,6746.74
346,4890.0
444,26109.33
818,23401.31
963,9500.57
770,27941.29
405,11396.9
1057,17929.3
1312,4536.26
555,3847.67
273,9617.66
821,2680.95
596,7640.31
782,9386.16
545,23807.24
1194,4134.08
584,1242.82
43,6313.76
251,47305.31
784,4350.51
437,5926.85
612,2207.7
565,2128.43
469,2201.1
910,2639.04
127,9634.54
756,7985.82
715,12146.97
337,13937.67
159,19749.38
1304,21259.38
1067,5757.41
872,5966.89
585,4779.6
909,17496.31
1092,3591.48
236,1615.77
864,8782.47
386,11856.41
859,10965.45
955,3875.73
1102,3471.41
39,48173.36
922,5488.26
725,40932.43
750,19539.24
571,2219.45
986,8410.05
1328,22395.74
666,8703.46
135,2155.68
743,3757.84
683,9863.47
207,20984.09
706,44400.41
45,20630.28
1201,8733.23
1129,1728.9
203,37133.9
1056,8277.52
896,19798.05
978,9704.67
520,25656.58
1292,1515.34
1126,10214.64
1120,34166.27
1172,11093.62
704,8930.93
1280,8283.68
1164,7153.55
1284,47403.88
261,17085.27
136,1261.44
995,7986.48
487,1253.94
926,2913.57
1182,2632.99
893,44202.65
1090,41676.08
1008,23241.47
102,21344.85
456,11881.97
1087,11353.23
183,7419.48
486,12475.35
598,7441.5
510,11763.0
517,8413.46
58,23244.79
187,5325.65
645,10141.14
1277,4357.04
1269,8615.3
54,8059.68
1138,3704.35
35,1625.43
483,9880.07
671,3943.6
901,48673.56
780,18259.22
114,11488.32
539,27346.04
580,12913.99
623,34617.84
816,2842.76
808,1131.51
693,2352.97
27,12268.63
263,36219.41
575,12222.9
1059,4462.72
518,5240.77
890,29330.98
460,10381.48
776,6986.7
498,8211.1
110,10825.25
720,9875.68
99,15820.7
70,16577.78
88,8026.67
1095,4561.19
768,14319.03
240,38511.63
1050,8023.14
1043,3161.45
1265,26926.51
1011,18767.74
806,28476.73
1142,27117.99
1283,1720.35
988,4518.83
266,17179.52
411,19594.81
788,5209.58
1251,1241.57
817,3597.6
69,17663.14
524,38245.59
834,5377.46
668,45710.21
738,36189.1
461,22144.03
196,5649.72
654,12244.53
222,5253.52
1222,8442.67
832,4719.74
310,8444.47
204,7147.11
345,6184.3
262,24869.84
950,11534.87
1214,3956.07
465,19521.97
786,12741.17
305,19442.35
301,24873.38
952,4527.18
544,10231.5
185,43753.34
979,4889.04
1169,6112.35
992,10118.42
11,27808.73
278,12928.79
84,39836.52
138,27322.73
970,10702.64
92,30184.94
142,18972.5
358,1837.28
495,1967.02
341,13352.1
1021,35595.59
973,1759.34
1175,2154.36
614,1880.07
1298,5261.47
980,25517.11
109,47055.53
1166,10982.5
853,11729.68
209,6610.11
218,3392.98
993,5484.47
997,13887.97
1218,41661.6
482,1622.19
79,6571.02
1240,47269.85
854,24106.91
652,8280.62
746,11737.85
165,10407.09
195,1639.56
64,14711.74
982,19199.94
701,9541.7
82,37165.16
91,10942.13
713,1984.45
766,8062.76
419,28950.47
357,9620.33
162,10450.55
153,19964.75
